id,sex,ses,marital,profession,education,GIS1,GIS2,GIS3,GIS4,GIS5,GIS6,GIS7,GIS8,GIS9,GIS10,GIS11,GIS12,GIS13,GIS14,GIS15,GIS16,GIS17,GIS18,GIS19,GIS20,GIS21,Age
175,1,1,1,2,5,3,1,3,3,3,3,3,4,3,3,3,4,4,3,3,4,4,4,4,4,4,66
176,1,1,1,2,5,3,3,4,4,4,4,3,4,3,4,4,4,4,1,4,4,4,4,4,3,4,65
177,1,1,1,2,2,0,4,0,3,1,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,60
178,1,1,2,2,5,4,3,4,3,3,3,2,0,2,1,1,4,4,4,3,4,4,0,0,1,3,65
179,1,1,1,2,5,3,0,1,4,4,2,1,1,4,2,3,2,3,1,3,4,3,4,4,3,3,64
180,1,1,2,2,5,4,3,1,3,3,3,3,0,1,0,2,3,3,4,3,4,4,4,4,3,3,61
181,1,1,1,3,5,1,2,1,2,2,3,3,2,2,1,3,2,2,1,3,2,3,0,4,2,2,61
182,1,1,1,3,1,3,4,3,3,3,3,4,3,3,1,3,3,4,0,2,4,3,3,2,1,2,65
183,1,2,1,3,5,3,3,3,2,3,3,3,4,4,4,3,4,3,1,3,4,3,4,3,3,3,61
184,1,2,1,3,1,3,3,1,1,3,1,1,0,0,2,1,1,0,1,1,2,0,0,1,1,0,61
185,0,1,3,5,5,3,2,2,3,2,3,3,3,3,0,2,3,3,2,3,3,0,0,3,3,4,62
186,0,2,3,5,5,3,1,1,1,1,1,3,3,3,2,3,3,3,2,3,3,3,0,1,2,3,65
187,0,2,1,5,1,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,67
188,0,2,2,5,5,3,3,3,3,3,3,3,1,2,2,3,1,1,1,3,3,3,0,2,2,1,68
189,0,2,1,5,5,1,3,3,3,3,3,3,1,2,3,3,2,3,2,2,3,4,4,2,2,2,71
190,0,3,1,5,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,64
191,0,2,3,5,1,0,1,0,3,3,2,1,0,0,2,3,0,0,3,3,3,4,4,2,3,3,70
192,0,1,1,5,5,4,3,3,4,4,3,3,3,2,3,3,3,3,3,3,2,2,4,4,3,3,61
193,0,2,3,5,5,4,2,4,3,3,3,4,4,2,3,3,3,3,2,2,3,2,2,3,2,3,85
194,0,3,1,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,1,4,4,4,79
195,0,2,1,5,2,4,3,2,2,2,3,4,3,3,4,4,4,3,3,3,3,4,3,4,4,3,61
196,0,4,1,1,1,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,0,3,3,3,65
197,0,4,3,1,1,4,3,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,1,90
198,0,4,3,5,5,0,1,1,0,2,2,3,3,3,1,1,1,3,3,3,3,4,1,2,1,0,69
199,1,2,1,4,1,3,3,1,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,3,3,3,63
200,0,4,3,5,1,4,3,4,4,3,4,3,4,4,2,3,3,3,3,3,3,3,0,3,3,3,90
201,0,3,1,5,1,4,2,2,4,3,3,3,3,4,2,3,3,3,3,3,3,2,2,3,3,0,69
202,0,2,1,5,5,3,3,3,3,3,3,1,3,4,2,3,3,3,2,3,3,3,2,3,3,2,63
203,0,2,1,5,1,3,2,2,3,2,3,1,3,3,2,3,3,3,2,3,3,2,3,3,2,1,64
204,0,1,3,5,5,4,4,4,4,4,4,3,4,3,3,4,4,4,2,3,3,3,3,4,2,3,63
205,1,2,1,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,2,2,3,2,3,62
206,1,1,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,2,3,3,3,70
207,1,2,1,4,1,3,3,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,75
208,1,2,3,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,4,3,2,70
209,0,3,3,5,5,3,3,3,3,4,4,4,4,3,3,4,4,4,2,2,3,3,3,3,3,3,68
210,1,3,1,3,1,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,1,3,3,63
211,1,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,70
212,1,2,1,3,5,4,3,3,4,3,0,4,4,0,4,4,4,4,4,4,0,0,0,4,4,4,64
213,1,2,1,3,5,1,2,2,3,3,2,1,2,3,2,2,2,2,2,1,2,2,2,1,1,1,60
214,1,2,1,3,5,2,2,2,2,1,2,2,1,1,4,3,3,2,1,1,2,1,1,2,2,2,60
215,0,3,1,5,1,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,2,3,3,3,69
216,0,2,3,5,5,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,66
217,1,2,3,3,1,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,2,0,4,4,4,65
218,0,2,3,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,65
219,1,2,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,62
220,0,1,1,5,5,2,3,3,3,2,2,1,1,1,2,3,3,2,3,1,3,1,3,3,1,1,63
221,0,2,3,5,5,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,2,3,3,2,2,63
222,0,2,3,5,5,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,4,3,1,3,2,3,63
223,1,2,1,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,1,2,3,3,3,80
224,1,3,1,5,5,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,1,3,3,3,69
225,1,2,1,1,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,1,3,3,3,65
226,1,2,1,2,4,4,4,3,4,3,3,4,3,1,2,4,4,3,3,4,3,3,3,3,3,1,65
227,1,2,2,3,4,3,4,3,4,4,3,3,3,4,3,3,3,4,1,3,4,3,3,3,3,2,66
228,0,2,3,5,5,3,4,3,3,3,3,2,3,4,3,3,3,4,3,2,4,3,3,3,3,1,67
229,0,2,1,5,1,3,3,4,3,3,3,2,3,4,3,3,3,3,3,3,4,4,1,3,3,3,63
230,0,2,1,5,5,3,3,4,4,3,2,1,3,4,3,3,3,3,1,3,4,3,3,3,3,2,65
